Course Code,Crosslisting,Course Title,Session,Credit,Class Time,Instructor
DISC 420 LEC 2,,Business Analytics,16W,3,TTh 2:00p-3:15p,Maheen Aamir Syed
DISC 7005 LEC 1,,Applied Statistics,16W,3,Th 3:00p-6:00p,Ussama Yaqub
DISC 8402 SEM 1,,Seminar in Supply Chain Analysis,16W,3,F 2:00p-5:00p,Sheikh Attique Ur Rehman
DISC 8502 LEC 1,,"Seminar in Technology and Innovation
Management",16W,3,Th 12:30p-3:30p,Muhammad Adeel Zaffar
ECON 100 LEC 1,,Principles of Economics,16W,4,MW 9:30a-11:20a,Nadia Mukhtar Sayed
ECON 111 LEC 1,,Principles of Microeconomics,16W,4,TTh 4:00p-5:15p,Faisal Bari
ECON 111 LEC 2,,Principles of Microeconomics,16W,4,TTh 10:00a-11:15a,Faisal Bari
ECON 111 LEC 3,,Principles of Microeconomics,16W,4,TTh 12:30p-1:45p,Faisal Bari
ECON 111 RAC 1,,Principles of Microeconomics,16W,4,M 10:00a-10:50a,Ayesha Karim Malik
ECON 111 RAC 2,,Principles of Microeconomics,16W,4,M 11:00a-11:50a,Ayesha Karim Malik
ECON 111 RAC 3,,Principles of Microeconomics,16W,4,M 12:00p-12:50p,Ayesha Karim Malik
ECON 111 RAC 4,,Principles of Microeconomics,16W,4,W 11:00a-11:50a,Ayesha Karim Malik
ECON 111 RAC 5,,Principles of Microeconomics,16W,4,W 12:00p-12:50p,Ayesha Karim Malik
ECON 111 RAC 6,,Principles of Microeconomics,16W,4,W 10:00a-10:50a,Ayesha Karim Malik
ECON 111 RAC 7,,Principles of Microeconomics,16W,4,F 11:00a-11:50a,Ayesha Karim Malik
ECON 111 RAC 8,,Principles of Microeconomics,16W,4,F 9:00a-9:50a,Ayesha Karim Malik
ECON 111 RAC 9,,Principles of Microeconomics,16W,4,F 10:00a-10:50a,Ayesha Karim Malik
ECON 121 LEC 1,,Principles of Macroeconomics,16W,4,MW 12:00p-1:15p,Kashif Zaheer Malik
ECON 121 LEC 2,,Principles of Macroeconomics,16W,4,MW 10:30a-11:45a,Kashif Zaheer Malik
ECON 121 LEC 3,,Principles of Macroeconomics,16W,4,TTh 10:30a-11:45a,Sheraz Latif Malik
ECON 121 RAC 1,,Principles of Macroeconomics,16W,4,W 4:00p-4:50p,Anum Fatima
ECON 121 RAC 2,,Principles of Macroeconomics,16W,4,W 3:00p-3:50p,Anum Fatima
ECON 121 RAC 3,,Principles of Macroeconomics,16W,4,W 2:00p-2:50p,Anum Fatima
ECON 121 RAC 4,,Principles of Macroeconomics,16W,4,Th 2:00p-2:50p,Anum Fatima
ECON 121 RAC 5,,Principles of Macroeconomics,16W,4,Th 4:30p-5:20p,Anum Fatima
ECON 121 RAC 6,,Principles of Macroeconomics,16W,4,Th 3:00p-3:50p,Anum Fatima
ECON 121 RAC 7,,Principles of Macroeconomics,16W,4,F 10:00a-10:50a,
ECON 121 RAC 8,,Principles of Macroeconomics,16W,4,F 11:00a-11:50a,
ECON 121 RAC 9,,Principles of Macroeconomics,16W,4,W 9:00a-9:50a,
ECON 211 LEC 1,,Intermediate Microeconomics,16W,4,MW 10:00a-11:50a,Ayesha Ali
ECON 211 LEC 2,,Intermediate Microeconomics,16W,4,TTh 10:00a-11:50a,Ayesha Ali
ECON 221 LEC 1,,Intermediate Macroeconomics,16W,4,TTh 10:00a-11:50a,Daniyal Khan
ECON 221 LEC 2,,Intermediate Macroeconomics,16W,4,TTh 2:00p-3:50p,Daniyal Khan
ECON 230 LEC 1,,Statistics and Data Analysis,16W,4,TTh 12:00p-1:30p,Rabia Khan
ECON 230 LEC 2,,Statistics and Data Analysis,16W,4,MW 2:00p-3:30p,Usman Elahi
ECON 230 LEC 3,,Statistics and Data Analysis,16W,4,MW 11:00a-12:30p,Usman Elahi
ECON 230 LAB 1,,Statistics and Data Analysis,16W,4,T 2:00p-2:50p,Rimsha Arif
ECON 230 LAB 2,,Statistics and Data Analysis,16W,4,T 5:00p-5:50p,Rimsha Arif
ECON 230 LAB 3,,Statistics and Data Analysis,16W,4,Th 5:00p-5:50p,Eeman Shehzad Qureshi
ECON 230 LAB 4,,Statistics and Data Analysis,16W,4,T 3:00p-3:50p,Eeman Shehzad Qureshi
ECON 230 LAB 5,,Statistics and Data Analysis,16W,4,W 4:00p-4:50p,Eeman Shehzad Qureshi
ECON 230 LAB 6,,Statistics and Data Analysis,16W,4,Th 3:00p-3:50p,Eeman Shehzad Qureshi
ECON 233 LEC 1,MATH 232,Introduction to Game Theory,16W,4,MW 10:00a-11:50a,Lyyla Khalid
ECON 233 LEC 2,MATH 232,Introduction to Game Theory,16W,4,TTh 10:00a-11:50a,Lyyla Khalid
ECON 240 LEC 1,,Development Economics,16W,4,TTh 3:00p-4:50p,Nadia Mukhtar Sayed
ECON 247 LEC 1,,Sectors and Policy in Development,16W,4,MW 10:00a-11:50a,Hadia Majid
ECON 261 LEC 1,,Principles of Finance,16W,4,TTh 12:00p-1:50p,Sheraz Latif Malik
ECON 262 LEC 1,,Mathematical Applications in Economics,16W,4,MW 10:00a-11:50a,Mushtaq Ahmad Khan
ECON 323 LEC 1,,Economic History of South Asia,16W,4,TTh 12:00p-1:50p,Fahd Ali
ECON 330 LEC 1,,Econometrics,16W,4,MW 10:00a-11:30a,Farah Said
ECON 330 LEC 2,,Econometrics,16W,4,TTh 10:00a-11:30a,Muhammad Farooq Naseer
ECON 330 LAB 1,,Econometrics,16W,4,F 11:00a-11:50a,Rabia Khan
ECON 330 LAB 2,,Econometrics,16W,4,F 12:00p-12:50p,Rabia Khan
ECON 330 LAB 3,,Econometrics,16W,4,W 5:00p-5:50p,Yushma Umar
ECON 330 LAB 4,,Econometrics,16W,4,W 2:00p-2:50p,Yushma Umar
ECON 3402 LEC 1,,Gender Economics,16W,4,TTh 4:00p-5:50p,Hana Zahir
ECON 343 LEC 1,,Agriculture and Food Policy,16W,4,TTh 2:00p-3:50p,Abid Aman Burki
ECON 3603 LEC 1,,"Money and Monetary Policy: Applications to
Pakistan",16W,4,MW 10:00a-11:50a,
ECON 363 LEC 1,,Economics of Investment and Finance,16W,4,MW 9:30a-11:20a,Mohammad Usman Khan
ECON 4102 LEC 1,GSS 4112,Gender and the Labor Market,16W,4,TTh 10:00a-11:50a,Hadia Majid
ECON 427 LEC 1,,Computational Macroeconomics,16W,4,MW 10:00a-11:50a,Syed Zahid Ali
ECON 438 LEC 1,,Econometrics II,16W,4,MW 12:00p-1:50p,Adeel Tariq
ECON 441 LEC 1,,Development Economics Theory,16W,4,MW 3:00p-4:50p,Khalid Mir
ECON 4410 LEC 1,,Issues in Economic Policy,16W,4,MW 9:00a-10:50a,"Nazish Afraz
Ijaz Nabi"
ECON 449 LEC 1,,Philosophy and Economics,16W,4,MW 10:00a-11:50a,Khalid Mir
ECON 511 LEC 1,,Microeconomic Analysis,16W,4,MW 10:00a-11:50a,Osama Khan
ECON 531 LEC 1,,Econometrics and Research Methodology I,16W,4,TTh 10:00a-11:50a,Mushtaq Ahmad Khan
ECON 536 LEC 1,,Topics in Mathematical Method for Economists,16W,4,MW 3:00p-4:50p,Syed Zahid Ali
EDU 210 LEC 1,,Critical Debates in Education,16W,3,MW 8:00a-9:15a,Gulab Khan
EDU 218 LEC 1,,"Education and International Development -
Concepts, Theories, and Issues",16W,3,TTh 8:00a-9:15a,Farah Syed
EDU 223 LEC 1,,"Trauma-Informed Education Systems: Creating
Cultures of Support and Change",16W,3,MW 8:00a-9:15a,Fizza Suhail
EDU 272 LEC 1,,"Education, Schools and Violence",16W,3,TTh 8:00a-9:15a,
EDU 274 LEC 1,GSS 265,Gender Media and Education,16W,3,TTh 8:00a-9:15a,Hasham Nasir
EDU 3203 LEC 1,,"Designing Immersive Learning Experiences:
Student-Centered Instructional Skills Training",16W,3,TTh 9:30a-10:45a,
EDU 3207 LEC 1,,Socio Emotional Learning,16W,3,TTh 3:30p-4:45p,Mariam Haider
EDU 321 LEC 1,,"Inclusive Pedagogy: Rethinking teaching, learning
and assessment",16W,3,TTh 8:00a-9:15a,Fizza Suhail
EDU 325 LEC 1,,The (Instructional) Core and How to Work it,16W,3,MW 12:30p-1:45p,Mehreen Noon
EDU 353 LEC 1,,Education and Conflict,16W,3,TTh 12:00p-1:15p,Hasham Nasir
EDU 372 LEC 1,SOC 322,Mobile Lives: Im/migration and Education,16W,3,TTh 4:30p-5:45p,Daniyal Yousaf
EDU 412 LEC 1,ECON 406,Economics of Education,16W,3,MW 12:00p-1:15p,Jasir Shahbaz
EDU 422 LEC 1,,Behavior Analysis for Effective Teaching,16W,3,TTh 10:30a-11:45a,Aaishay Haque
EDU 510 SEM 1,,"Interdisciplinary Theoretical Perspectives on
Education",16W,3,F 2:00p-4:50p,"Aaishay Haque
Tayyaba Tamim"
EDU 512 SEM 1,,The Arts and Education,16W,3,M 3:00p-5:50p,Razia Iram Sadik
EDU 515 SEM 1,,"Education and Happiness: Combining learning with
hope and positivity",16W,3,F 8:00a-10:50a,Irfan Muzaffar
EDU 526 LEC 1,,"Enhancing Inclusion: Exploring Autism and
Intellectual Disability",16W,3,TTh 1:00p-2:15p,Mariam Haider
EDU 540 LEC 1,,Leadership: The Politics of Change,16W,3,TTh 8:00a-9:15a,Mariam Chughtai
EDU 560 SEM 1,,Research Methods,16W,3,F 8:00a-10:50a,"Soufia Anis Siddiqi
Ahmad Ayub"
EDU 590 FLD 1,,Observing Schools,16W,1,W 10:30a-4:20p,Hasham Nasir
EDU 643 LEC 1,,"Contemporary Management Concepts in
Educational Leadership",16W,3,MW 2:30p-3:45p,
EDU 690 SEM 1,,Practicum Proseminar,16W,3,F 8:00a-10:50a,Gulab Khan
EDU 690 SEM 2,,Practicum Proseminar,16W,3,F 2:00p-4:50p,Soufia Anis Siddiqi
EDU 693 LEC 1,,Academic Writing,16W,1,F 12:00p-12:50p,Sannia Hussain
EDUX 510 LEC 1,,"Interdisciplinary Theoretical Perspectives on
Education",EDUX(Alternate Sat-Sun),3,SSu 1:00p-2:50p,
EDUX 526 LEC 1,,Professional Learning in Education,EDUX(Alternate Sat-Sun),3,SSu 12:00p-1:50p,Jessica Albrent
EDUX 540 LEC 1,,Leadership: The Politics of Change,EDUX(Alternate Sat-Sun),3,SSu 4:00p-5:50p,"Jessica Albrent
Hasham Nasir"
EDUX 560 LEC 1,,Research Methods,EDUX(Alternate Sat-Sun),3,SSu 8:00a-9:50a,
EDUX 590 FLD 1,,Observing Schools,EDUX(Alternate Sat-Sun),1,Su 10:00a-11:30a,Hasham Nasir
EDUX 616 LEC 1,,"Arts-Based Research: Exploring Creative Practices
in Educational Inquiry",EDUX(Alternate Sat-Sun),3,SSu 3:00p-4:50p,Razia Iram Sadik
EDUX 662 LEC 1,,Impact Evaluation Methods in Education,EDUX(Alternate Sat-Sun),3,SSu 2:00p-3:50p,Farah Nadeem
EDUX 690 LEC 1,,Practicum Proseminar,EDUX(Alternate Sat-Sun),3,Su 8:00a-11:50a,Razia Iram Sadik
EDUX 690 LEC 2,,Practicum Proseminar,EDUX(Alternate Sat-Sun),3,S 8:00a-11:50a,Farah Nadeem
EDUX 693 LEC 1,,Academic Writing,EDUX(Alternate Sat-Sun),1,S 10:00a-11:30a,Sannia Hussain
EE 200 LAB 1,,Sophomore Design Studio,16W,1,W 1:30p-4:20p,Talha Manzoor
EE 203 LEC 1,,Engineering Models,16W,3,TTh 9:30a-10:45a,Hassan Mohy-ud-Din
EE 240 LEC 1,,Circuits I,16W,3,TTh 1:00p-2:15p,Zubair Khalid
EE 324 LEC 1,,Microcontroller and Interfacing,16W,2,MW 2:00p-2:50p,Muhammad Jahangir Ikram
EE 324L LAB 1,,Microcontroller and Interfacing Lab,16W,1,T 11:00a-1:50p,Muhammad Jahangir Ikram
EE 324L LAB 2,,Microcontroller and Interfacing Lab,16W,1,Th 3:00p-5:50p,Muhammad Jahangir Ikram
EE 330 LEC 1,PHY 305,Electromagnetic Fields and Waves,16W,3,MW 9:30a-10:45a,Muhammad Imran Cheema
EE 340 LEC 1,,Devices and Electronics,16W,3,MW 12:30p-1:45p,Nauman Ahmad Zaffar
EE 340L LAB 1,,Devices and Electronics Lab,16W,1,T 2:00p-4:50p,Nauman Ahmad Zaffar
EE 340L LAB 2,,Devices and Electronics Lab,16W,1,F 2:00p-4:50p,Nauman Ahmad Zaffar
EE 340L LAB 3,,Devices and Electronics Lab,16W,1,W 3:00p-5:50p,Nauman Ahmad Zaffar
EE 380 LEC 1,,Communication Systems,16W,3,MW 11:00a-12:15p,Ijaz Haider Naqvi
EE 380L LAB 1,,Communication Systems Lab,16W,1,F 2:00p-4:50p,"Ahsan Ikram
Ijaz Haider Naqvi"
EE 380L LAB 2,,Communication Systems Lab,16W,1,T 2:30p-5:20p,"Ahsan Ikram
Ijaz Haider Naqvi"
EE 380L LAB 3,,Communication Systems Lab,16W,1,F 10:00a-12:50p,Ijaz Haider Naqvi
EE 414 LEC 1,EE 517/CS 437/CS 5317,Deep Learning,16W,3,TTh 11:30a-12:45p,Hassan Mohy-ud-Din
EE 421 LEC 1,CS 425,Digital System Design,16W,3,MW 11:30a-12:45p,Shahid Masud
EE 421L LAB 1,CS 425L,Digital System Design Lab,16W,1,F 10:00a-12:50p,Shahid Masud
EE 452 LEC 1,EE 552,Power Electronics,16W,3,MW 1:30p-2:45p,Hafsa Qamar
EE 452L LAB 1,EE 552L,Power Electronics Lab,16W,1,T 11:30a-2:20p,Hafsa Qamar
EE 452L LAB 2,EE 552L,Power Electronics Lab,16W,1,W 10:30a-1:20p,Hafsa Qamar
EE 453 LEC 1,EE 559,Power Systems Protection and Stability,16W,3,MW 3:00p-4:15p,Raheel Zafar
EE 453L LAB 1,EE 559L,Power Systems Protection and Stability,16W,1,F 3:00p-5:50p,Raheel Zafar
EE 5102 LEC 1,,Advanced Topics in Machine Learning,16W,3,MW 4:30p-5:45p,Muhammad Tahir
EE 520 LEC 1,CS 622,Computer Architecture,16W,3,MW 4:30p-5:45p,Muhammad Adeel Ahmed Pasha
EE 5202 LEC 1,,VLSI Design for Artificial Intelligence,16W,3,MW 4:30p-5:45p,Muhammad Ali Siddiqi
EE 5203 LEC 1,,"Data Analysis, Design of Experiments and Physics
Informed ML",16W,3,TTh 9:30a-10:45a,Nauman Zafar Butt
EE 5216 LEC 1,CS 595,Hardware Design for IoT Security,16W,3,MW 10:00a-11:15a,Muhammad Ali Siddiqi
EE 5502 LEC 1,,Local Solutions for Energy Access,16W,3,MW 9:00a-10:15a,"Naveed Arshad
Nauman Ahmad Zaffar"
EE 555 LEC 1,,Renewable Energy Systems,16W,3,MW 4:30p-5:45p,Hassan Abbas Khan
EE 567 LEC 1,CS 6315,Multi-agent Systems,16W,3,TTh 9:30a-10:45a,Hassan Jaleel
EE 576 LEC 1,,Smart Grid: Technology and Applications,16W,3,TTh 4:30p-5:45p,Naveed Ul Hassan
EMBA 5013 LEC 1,,"Understanding Financial Accounting: Making More
Authoritative Decisions",M01,1,SSu 8:30a-10:35a,Asad Alam
EMBA 5013 LEC 2,,"Understanding Financial Accounting: Making More
Authoritative Decisions",M01,1,SSu 10:55a-1:00p,Asad Alam
EMBA 5022 LEC 1,,Corporate Finance,M04,1,SSu 10:55a-1:00p,Syed Mubashir Ali
EMBA 5022 LEC 2,,Corporate Finance,M04,1,SSu 2:00p-4:05p,Syed Mubashir Ali
EMBA 5041 LEC 1,,Marketing Management,M01,1,SSu 2:00p-4:05p,Ehsan Ul Haque
EMBA 5041 LEC 2,,Marketing Management,M01,1,SSu 8:30a-10:35a,Ehsan Ul Haque
EMBA 5063 LEC 1,,Problem Solving and Decision Making,M01,1,SSu 10:55a-1:00p,Jamshed Hasan Khan
EMBA 5063 LEC 2,,Problem Solving and Decision Making,M01,1,SSu 2:00p-4:05p,Jamshed Hasan Khan
EMBA 5211 LEC 1,,Business Law,M04,1,SSu 8:30a-10:35a,Faiza Ali
EMBA 5211 LEC 2,,Business Law,M04,1,SSu 10:55a-1:00p,Faiza Ali
EMBA 6071 LEC 1,,Venture Creation,M04,1,SSu 2:00p-4:05p,Mansoor Nawaz
EMBA 6071 LEC 2,,Venture Creation,M04,1,SSu 8:30a-10:35a,Mansoor Nawaz
ENGG 100 LAB 1,,Design and Measurement Lab,16W,2,W 9:00a-1:50p,Qasim Imtiaz
ENGG 100 LAB 2,,Design and Measurement Lab,16W,2,Th 9:00a-1:50p,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LAB 3,,Design and Measurement Lab,16W,2,T 9:00a-1:50p,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LAB 4,,Design and Measurement Lab,16W,2,M 9:00a-1:50p,Zubair Khalid
ENGG 100 LAB 5,,Design and Measurement Lab,16W,2,Th 1:30p-6:20p,Muhammad Tahir
ENGG 100 LEC 1,,Design and Measurement Lab,16W,2,W 8:00a-8:50a,Qasim Imtiaz
ENGG 100 LEC 2,,Design and Measurement Lab,16W,2,Th 8:00a-8:50a,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LEC 3,,Design and Measurement Lab,16W,2,T 8:00a-8:50a,"Muhammad Umar Hassan
Ammar Ahmed Khan"
ENGG 100 LEC 4,,Design and Measurement Lab,16W,2,M 8:00a-8:50a,Zubair Khalid
ENGG 100 LEC 5,,Design and Measurement Lab,16W,2,Th 12:30p-1:20p,Muhammad Tahir
ENGL 1000 LEC 1,,Introduction to Literature in English,16W,4,TTh 2:00p-3:50p,Tom Edward Sewel
ENGL 1102 LEC 1,,Writing South Asia,16W,4,TTh 4:30p-6:20p,Younis Bin Azeem
ENGL 1192 LEC 1,,Introduction to Humour Writing,16W,4,MW 2:00p-3:50p,Younis Bin Azeem
ENGL 2402 LEC 1,,Comics Scholarship and Graphic Narrative,16W,4,MW 8:00a-9:50a,Tom Edward Sewel
ENGL 2811 LEC 1,GSS 262,"Rethinking the Politics of Harem in Literature:
Women, Islam, and Gendered Spaces",16W,4,MW 12:00p-1:50p,Sadia Zulfiqar
ENGL 2991 LEC 1,,"Text and Tech: Digital Approaches to the
Humanities",16W,4,TTh 8:00a-9:50a,
ENGL 3172 LEC 1,GSS 362,"'The Empire Writes Back’: Diaspora Fiction in
Europe",16W,4,MW 8:00a-9:50a,Farah Hasan Ali
ENGL 3812 LEC 1,GSS 363,African Literature: Women Writing Back,16W,4,MW 12:00p-1:50p,Furrukh A. Khan
ENV 102 LEC 1,,Introduction to Environmental Studies,16W,4,TTh 10:00a-11:50a,Maryam Ibrahim
ENV 132 LEC 1,SOC 122,Disasters,16W,4,TTh 2:00p-3:50p,Sana Khosa
ENV 210 LEC 1,,Methods in Environmental Studies,16W,4,MW 12:00p-1:50p,
ENV 342 LEC 1,SOC 324,Environmentalism and Development,16W,4,MW 3:00p-4:50p,Maryam Ibrahim
FINN 100 LEC 1,,Principles of Finance,16W,3,MW 9:30a-10:45a,Salman Khan
FINN 200 LEC 1,,Intermediate Finance,16W,3,MW 11:00a-12:15p,Bushra Naqvi
FINN 200 LEC 2,,Intermediate Finance,16W,3,MW 8:00a-9:15a,Syed Hashim Mahmood Ali
FINN 200 LEC 3,,Intermediate Finance,16W,3,MW 9:30a-10:45a,Syed Hashim Mahmood Ali
FINN 243 LEC 1,,"Fintech Revolution: Market Disruption and
Emerging Opportunities",16W,3,TTh 5:00p-6:15p,Syed Hashim Mahmood Ali
FINN 372 LEC 1,,Actuarial Sciences and Insurance,16W,3,TTh 12:30p-1:45p,Nauman Afzal Cheema
FINN 373 LEC 1,,Fundamentals of Actuarial Mathematics I,16W,3,TTh 5:00p-6:15p,
FINN 400 LEC 1,,Applied Corporate Finance,16W,3,TTh 2:00p-3:15p,Saad Azmat
FINN 403 LEC 1,,Financial Modelling,16W,3,TTh 11:00a-12:15p,Talha Farrukh
FINN 441 LEC 1,,Islamic Banking and Finance,16W,3,TTh 3:30p-4:45p,Saad Azmat
FINN 454 LEC 1,,Portfolio Management,16W,3,MW 11:00a-12:15p,Syed Kumail Abbas Rizvi
FINN 7201 LEC 1,,Mathematical Modeling,16W,3,W 9:30a-12:30p,
