Course Code,Course Title,Session,Credit,Class Time,Start Time,End Time,Instructor,Cross Listing Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ECON 449 LEC 1,Philosophy and Economics,16W,4.0,10:00a-11:50a,10:00,11:50,Khalid Mir,,1,0,1,0,0,0,0
ECON 511 LEC 1,Microeconomic Analysis,16W,4.0,10:00a-11:50a,10:00,11:50,Osama Khan,,1,0,1,0,0,0,0
ECON 531 LEC 1,Econometrics and Research Methodology I,16W,4.0,10:00a-11:50a,10:00,11:50,Mushtaq Ahmad Khan,,0,1,0,1,0,0,0
ECON 536 LEC 1,Topics in Mathematical Method for Economists,16W,4.0,3:00p-4:50p,15:00,16:50,Syed Zahid Ali,,1,0,1,0,0,0,0
EDU 210 LEC 1,Critical Debates in Education,16W,3.0,8:00a-9:15a,08:00,09:15,Gulab Khan,,1,0,1,0,0,0,0
EDU 218 LEC 1,"Education and International Development -
Concepts, Theories, and Issues",16W,3.0,8:00a-9:15a,08:00,09:15,Farah Syed,,0,1,0,1,0,0,0
EDU 223 LEC 1,"Trauma-Informed Education Systems: Creating
Cultures of Support and Change",16W,3.0,8:00a-9:15a,08:00,09:15,Fizza Suhail,,1,0,1,0,0,0,0
EDU 272 LEC 1,"Education, Schools and Violence",16W,3.0,8:00a-9:15a,08:00,09:15,TBA,,0,1,0,1,0,0,0
EDU 274 LEC 1,Gender Media and Education,16W,3.0,8:00a-9:15a,08:00,09:15,Hasham Nasir,GSS 265,0,1,0,1,0,0,0
GSS 265 LEC 1,Gender Media and Education,16W,3.0,8:00a-9:15a,08:00,09:15,Hasham Nasir,EDU 274,0,1,0,1,0,0,0
EDU 3203 LEC 1,"Designing Immersive Learning Experiences:
Student-Centered Instructional Skills Training",16W,3.0,9:30a-10:45a,09:30,10:45,TBA,,0,1,0,1,0,0,0
EDU 3207 LEC 1,Socio Emotional Learning,16W,3.0,3:30p-4:45p,15:30,16:45,Mariam Haider,,0,1,0,1,0,0,0
EDU 321 LEC 1,"Inclusive Pedagogy: Rethinking teaching, learning
and assessment",16W,3.0,8:00a-9:15a,08:00,09:15,Fizza Suhail,,0,1,0,1,0,0,0
EDU 325 LEC 1,The (Instructional) Core and How to Work it,16W,3.0,12:30p-1:45p,12:30,13:45,Mehreen Noon,,1,0,1,0,0,0,0
EDU 353 LEC 1,Education and Conflict,16W,3.0,12:00p-1:15p,12:00,13:15,Hasham Nasir,,0,1,0,1,0,0,0
EDU 372 LEC 1,Mobile Lives: Im/migration and Education,16W,3.0,4:30p-5:45p,16:30,17:45,Daniyal Yousaf,SOC 322,0,1,0,1,0,0,0
SOC 322 LEC 1,Mobile Lives: Im/migration and Education,16W,3.0,4:30p-5:45p,16:30,17:45,Daniyal Yousaf,EDU 372,0,1,0,1,0,0,0
EDU 412 LEC 1,Economics of Education,16W,3.0,12:00p-1:15p,12:00,13:15,Jasir Shahbaz,ECON 406,1,0,1,0,0,0,0
ECON 406 LEC 1,Economics of Education,16W,3.0,12:00p-1:15p,12:00,13:15,Jasir Shahbaz,EDU 412,1,0,1,0,0,0,0
EDU 422 LEC 1,Behavior Analysis for Effective Teaching,16W,3.0,10:30a-11:45a,10:30,11:45,Aaishay Haque,,0,1,0,1,0,0,0
EDU 510 SEM 1,"Interdisciplinary Theoretical Perspectives on
Education",16W,3.0,2:00p-4:50p,14:00,16:50,"Aaishay Haque
Tayyaba Tamim",,0,0,0,0,1,0,0
EDU 512 SEM 1,The Arts and Education,16W,3.0,3:00p-5:50p,15:00,17:50,Razia Iram Sadik,,1,0,0,0,0,0,0
EDU 515 SEM 1,"Education and Happiness: Combining learning with
hope and positivity",16W,3.0,8:00a-10:50a,08:00,10:50,Irfan Muzaffar,,0,0,0,0,1,0,0
EDU 526 LEC 1,"Enhancing Inclusion: Exploring Autism and
Intellectual Disability",16W,3.0,1:00p-2:15p,13:00,14:15,Mariam Haider,,0,1,0,1,0,0,0
EDU 540 LEC 1,Leadership: The Politics of Change,16W,3.0,8:00a-9:15a,08:00,09:15,Mariam Chughtai,,0,1,0,1,0,0,0
EDU 560 SEM 1,Research Methods,16W,3.0,8:00a-10:50a,08:00,10:50,"Soufia Anis Siddiqi
Ahmad Ayub",,0,0,0,0,1,0,0
EDU 590 FLD 1,Observing Schools,16W,1.0,10:30a-4:20p,10:30,16:20,Hasham Nasir,,0,0,1,0,0,0,0
EDU 643 LEC 1,"Contemporary Management Concepts in
Educational Leadership",16W,3.0,2:30p-3:45p,14:30,15:45,TBA,,1,0,1,0,0,0,0
EDU 690 SEM 1,Practicum Proseminar,16W,3.0,8:00a-10:50a,08:00,10:50,Gulab Khan,,0,0,0,0,1,0,0
EDU 690 SEM 2,Practicum Proseminar,16W,3.0,2:00p-4:50p,14:00,16:50,Soufia Anis Siddiqi,,0,0,0,0,1,0,0
EDU 693 LEC 1,Academic Writing,16W,1.0,12:00p-12:50p,12:00,12:50,Sannia Hussain,,0,0,0,0,1,0,0
EDUX 510 LEC 1,"Interdisciplinary Theoretical Perspectives on
Education",EDUX(Alternate Sat-Sun),3.0,1:00p-2:50p,13:00,14:50,TBA,,0,0,0,0,0,1,1
EDUX 526 LEC 1,Professional Learning in Education,EDUX(Alternate Sat-Sun),3.0,12:00p-1:50p,12:00,13:50,Jessica Albrent,,0,0,0,0,0,1,1
EDUX 540 LEC 1,Leadership: The Politics of Change,EDUX(Alternate Sat-Sun),3.0,4:00p-5:50p,16:00,17:50,"Jessica Albrent
Hasham Nasir",,0,0,0,0,0,1,1
EDUX 560 LEC 1,Research Methods,EDUX(Alternate Sat-Sun),3.0,8:00a-9:50a,08:00,09:50,TBA,,0,0,0,0,0,1,1
EDUX 590 FLD 1,Observing Schools,EDUX(Alternate Sat-Sun),1.0,10:00a-11:30a,10:00,11:30,Hasham Nasir,,0,0,0,0,0,1,1
EDUX 616 LEC 1,"Arts-Based Research: Exploring Creative Practices
in Educational Inquiry",EDUX(Alternate Sat-Sun),3.0,3:00p-4:50p,15:00,16:50,Razia Iram Sadik,,0,0,0,0,0,1,1
EDUX 662 LEC 1,Impact Evaluation Methods in Education,EDUX(Alternate Sat-Sun),3.0,2:00p-3:50p,14:00,15:50,Farah Nadeem,,0,0,0,0,0,1,1
EDUX 690 LEC 1,Practicum Proseminar,EDUX(Alternate Sat-Sun),3.0,8:00a-11:50a,08:00,11:50,Razia Iram Sadik,,0,0,0,0,0,1,1
EDUX 690 LEC 2,Practicum Proseminar,EDUX(Alternate Sat-Sun),3.0,8:00a-11:50a,08:00,11:50,Farah Nadeem,,0,0,0,0,0,1,0
EDUX 693 LEC 1,Academic Writing,EDUX(Alternate Sat-Sun),1.0,10:00a-11:30a,10:00,11:30,Sannia Hussain,,0,0,0,0,0,1,0
EE 200 LAB 1,Sophomore Design Studio,16W,1.0,1:30p-4:20p,13:30,16:20,Talha Manzoor,,0,0,1,0,0,0,0
EE 203 LEC 1,Engineering Models,16W,3.0,9:30a-10:45a,09:30,10:45,Hassan Mohy-ud-Din,,0,1,0,1,0,0,0
EE 240 LEC 1,Circuits I,16W,3.0,1:00p-2:15p,13:00,14:15,Zubair Khalid,,0,1,0,1,0,0,0
EE 324 LEC 1,Microcontroller and Interfacing,16W,2.0,2:00p-2:50p,14:00,14:50,Muhammad Jahangir Ikram,,1,0,1,0,0,0,0
EE 324L LAB 1,Microcontroller and Interfacing Lab,16W,1.0,11:00a-1:50p,11:00,13:50,Muhammad Jahangir Ikram,,0,1,0,0,0,0,0
EE 324L LAB 2,Microcontroller and Interfacing Lab,16W,1.0,3:00p-5:50p,15:00,17:50,Muhammad Jahangir Ikram,,0,0,0,1,0,0,0
EE 330 LEC 1,Electromagnetic Fields and Waves,16W,3.0,9:30a-10:45a,09:30,10:45,Muhammad Imran Cheema,PHY 305,1,0,1,0,0,0,0
PHY 305 LEC 1,Electromagnetic Fields and Waves,16W,3.0,9:30a-10:45a,09:30,10:45,Muhammad Imran Cheema,EE 330,1,0,1,0,0,0,0
EE 340 LEC 1,Devices and Electronics,16W,3.0,12:30p-1:45p,12:30,13:45,Nauman Ahmad Zaffar,,1,0,1,0,0,0,0
EE 340L LAB 1,Devices and Electronics Lab,16W,1.0,2:00p-4:50p,14:00,16:50,Nauman Ahmad Zaffar,,0,1,0,0,0,0,0
EE 340L LAB 2,Devices and Electronics Lab,16W,1.0,2:00p-4:50p,14:00,16:50,Nauman Ahmad Zaffar,,0,0,0,0,1,0,0
EE 340L LAB 3,Devices and Electronics Lab,16W,1.0,3:00p-5:50p,15:00,17:50,Nauman Ahmad Zaffar,,0,0,1,0,0,0,0
EE 380 LEC 1,Communication Systems,16W,3.0,11:00a-12:15p,11:00,12:15,Ijaz Haider Naqvi,,1,0,1,0,0,0,0
EE 380L LAB 1,Communication Systems Lab,16W,1.0,2:00p-4:50p,14:00,16:50,"Ahsan Ikram
Ijaz Haider Naqvi",,0,0,0,0,1,0,0
EE 380L LAB 2,Communication Systems Lab,16W,1.0,2:30p-5:20p,14:30,17:20,"Ahsan Ikram
Ijaz Haider Naqvi",,0,1,0,0,0,0,0
EE 380L LAB 3,Communication Systems Lab,16W,1.0,10:00a-12:50p,10:00,12:50,Ijaz Haider Naqvi,,0,0,0,0,1,0,0
EE 414 LEC 1,Deep Learning,16W,3.0,11:30a-12:45p,11:30,12:45,Hassan Mohy-ud-Din,EE 517/CS 437/CS 5317,0,1,0,1,0,0,0
EE 517/CS 437/CS 5317 LEC 1,Deep Learning,16W,3.0,11:30a-12:45p,11:30,12:45,Hassan Mohy-ud-Din,EE 414,0,1,0,1,0,0,0
EE 421 LEC 1,Digital System Design,16W,3.0,11:30a-12:45p,11:30,12:45,Shahid Masud,CS 425,1,0,1,0,0,0,0
CS 425 LEC 1,Digital System Design,16W,3.0,11:30a-12:45p,11:30,12:45,Shahid Masud,EE 421,1,0,1,0,0,0,0
EE 421L LAB 1,Digital System Design Lab,16W,1.0,10:00a-12:50p,10:00,12:50,Shahid Masud,CS 425L,0,0,0,0,1,0,0
CS 425L LAB 1,Digital System Design Lab,16W,1.0,10:00a-12:50p,10:00,12:50,Shahid Masud,EE 421L,0,0,0,0,1,0,0
EE 452 LEC 1,Power Electronics,16W,3.0,1:30p-2:45p,13:30,14:45,Hafsa Qamar,EE 552,1,0,1,0,0,0,0
EE 552 LEC 1,Power Electronics,16W,3.0,1:30p-2:45p,13:30,14:45,Hafsa Qamar,EE 452,1,0,1,0,0,0,0
EE 452L LAB 1,Power Electronics Lab,16W,1.0,11:30a-2:20p,11:30,14:20,Hafsa Qamar,EE 552L,0,1,0,0,0,0,0
EE 552L LAB 1,Power Electronics Lab,16W,1.0,11:30a-2:20p,11:30,14:20,Hafsa Qamar,EE 452L,0,1,0,0,0,0,0
EE 452L LAB 2,Power Electronics Lab,16W,1.0,10:30a-1:20p,10:30,13:20,Hafsa Qamar,EE 552L,0,0,1,0,0,0,0
EE 552L LAB 2,Power Electronics Lab,16W,1.0,10:30a-1:20p,10:30,13:20,Hafsa Qamar,EE 452L,0,0,1,0,0,0,0
EE 453 LEC 1,Power Systems Protection and Stability,16W,3.0,3:00p-4:15p,15:00,16:15,Raheel Zafar,EE 559,1,0,1,0,0,0,0
EE 559 LEC 1,Power Systems Protection and Stability,16W,3.0,3:00p-4:15p,15:00,16:15,Raheel Zafar,EE 453,1,0,1,0,0,0,0
EE 453L LAB 1,Power Systems Protection and Stability,16W,1.0,3:00p-5:50p,15:00,17:50,Raheel Zafar,EE 559L,0,0,0,0,1,0,0
EE 559L LAB 1,Power Systems Protection and Stability,16W,1.0,3:00p-5:50p,15:00,17:50,Raheel Zafar,EE 453L,0,0,0,0,1,0,0
EE 5102 LEC 1,Advanced Topics in Machine Learning,16W,3.0,4:30p-5:45p,16:30,17:45,Muhammad Tahir,,1,0,1,0,0,0,0
EE 520 LEC 1,Computer Architecture,16W,3.0,4:30p-5:45p,16:30,17:45,Muhammad Adeel Ahmed Pasha,CS 622,1,0,1,0,0,0,0
CS 622 LEC 1,Computer Architecture,16W,3.0,4:30p-5:45p,16:30,17:45,Muhammad Adeel Ahmed Pasha,EE 520,1,0,1,0,0,0,0
EE 5202 LEC 1,VLSI Design for Artificial Intelligence,16W,3.0,4:30p-5:45p,16:30,17:45,Muhammad Ali Siddiqi,,1,0,1,0,0,0,0
EE 5203 LEC 1,"Data Analysis, Design of Experiments and Physics
Informed ML",16W,3.0,9:30a-10:45a,09:30,10:45,Nauman Zafar Butt,,0,1,0,1,0,0,0
EE 5216 LEC 1,Hardware Design for IoT Security,16W,3.0,10:00a-11:15a,10:00,11:15,Muhammad Ali Siddiqi,CS 595,1,0,1,0,0,0,0
CS 595 LEC 1,Hardware Design for IoT Security,16W,3.0,10:00a-11:15a,10:00,11:15,Muhammad Ali Siddiqi,EE 5216,1,0,1,0,0,0,0
EE 5502 LEC 1,Local Solutions for Energy Access,16W,3.0,9:00a-10:15a,09:00,10:15,"Naveed Arshad
Nauman Ahmad Zaffar",,1,0,1,0,0,0,0
EE 555 LEC 1,Renewable Energy Systems,16W,3.0,4:30p-5:45p,16:30,17:45,Hassan Abbas Khan,,1,0,1,0,0,0,0
EE 567 LEC 1,Multi-agent Systems,16W,3.0,9:30a-10:45a,09:30,10:45,Hassan Jaleel,CS 6315,0,1,0,1,0,0,0
CS 6315 LEC 1,Multi-agent Systems,16W,3.0,9:30a-10:45a,09:30,10:45,Hassan Jaleel,EE 567,0,1,0,1,0,0,0
EE 576 LEC 1,Smart Grid: Technology and Applications,16W,3.0,4:30p-5:45p,16:30,17:45,Naveed Ul Hassan,,0,1,0,1,0,0,0
EMBA 5013 LEC 1,"Understanding Financial Accounting: Making More
Authoritative Decisions",M01,1.0,8:30a-10:35a,08:30,10:35,Asad Alam,,0,0,0,0,0,1,1
EMBA 5013 LEC 2,"Understanding Financial Accounting: Making More
Authoritative Decisions",M01,1.0,10:55a-1:00p,10:55,13:00,Asad Alam,,0,0,0,0,0,1,1
EMBA 5022 LEC 1,Corporate Finance,M04,1.0,10:55a-1:00p,10:55,13:00,Syed Mubashir Ali,,0,0,0,0,0,1,1
EMBA 5022 LEC 2,Corporate Finance,M04,1.0,2:00p-4:05p,14:00,16:05,Syed Mubashir Ali,,0,0,0,0,0,1,1
EMBA 5041 LEC 1,Marketing Management,M01,1.0,2:00p-4:05p,14:00,16:05,Ehsan Ul Haque,,0,0,0,0,0,1,1
EMBA 5041 LEC 2,Marketing Management,M01,1.0,8:30a-10:35a,08:30,10:35,Ehsan Ul Haque,,0,0,0,0,0,1,1
EMBA 5063 LEC 1,Problem Solving and Decision Making,M01,1.0,10:55a-1:00p,10:55,13:00,Jamshed Hasan Khan,,0,0,0,0,0,1,1
EMBA 5063 LEC 2,Problem Solving and Decision Making,M01,1.0,2:00p-4:05p,14:00,16:05,Jamshed Hasan Khan,,0,0,0,0,0,1,1
EMBA 5211 LEC 1,Business Law,M04,1.0,8:30a-10:35a,08:30,10:35,Faiza Ali,,0,0,0,0,0,1,1
EMBA 5211 LEC 2,Business Law,M04,1.0,10:55a-1:00p,10:55,13:00,Faiza Ali,,0,0,0,0,0,1,1
EMBA 6071 LEC 1,Venture Creation,M04,1.0,2:00p-4:05p,14:00,16:05,Mansoor Nawaz,,0,0,0,0,0,1,1
EMBA 6071 LEC 2,Venture Creation,M04,1.0,8:30a-10:35a,08:30,10:35,Mansoor Nawaz,,0,0,0,0,0,1,1
ENGG 100 LAB 1,Design and Measurement Lab,16W,2.0,9:00a-1:50p,09:00,13:50,Qasim Imtiaz,,0,0,1,0,0,0,0
ENGG 100 LAB 2,Design and Measurement Lab,16W,2.0,9:00a-1:50p,09:00,13:50,"Muhammad Umar Hassan
Ammar Ahmed Khan",,0,0,0,1,0,0,0
ENGG 100 LAB 3,Design and Measurement Lab,16W,2.0,9:00a-1:50p,09:00,13:50,"Muhammad Umar Hassan
Ammar Ahmed Khan",,0,1,0,0,0,0,0
ENGG 100 LAB 4,Design and Measurement Lab,16W,2.0,9:00a-1:50p,09:00,13:50,Zubair Khalid,,1,0,0,0,0,0,0
ENGG 100 LAB 5,Design and Measurement Lab,16W,2.0,1:30p-6:20p,13:30,18:20,Muhammad Tahir,,0,0,0,1,0,0,0
ENGG 100 LEC 1,Design and Measurement Lab,16W,2.0,8:00a-8:50a,08:00,08:50,Qasim Imtiaz,,0,0,1,0,0,0,0
ENGG 100 LEC 2,Design and Measurement Lab,16W,2.0,8:00a-8:50a,08:00,08:50,"Muhammad Umar Hassan
Ammar Ahmed Khan",,0,0,0,1,0,0,0
ENGG 100 LEC 3,Design and Measurement Lab,16W,2.0,8:00a-8:50a,08:00,08:50,"Muhammad Umar Hassan
Ammar Ahmed Khan",,0,1,0,0,0,0,0
ENGG 100 LEC 4,Design and Measurement Lab,16W,2.0,8:00a-8:50a,08:00,08:50,Zubair Khalid,,1,0,0,0,0,0,0
ENGG 100 LEC 5,Design and Measurement Lab,16W,2.0,12:30p-1:20p,12:30,13:20,Muhammad Tahir,,0,0,0,1,0,0,0
ENGL 1000 LEC 1,Introduction to Literature in English,16W,4.0,2:00p-3:50p,14:00,15:50,Tom Edward Sewel,,0,1,0,1,0,0,0
ENGL 1102 LEC 1,Writing South Asia,16W,4.0,4:30p-6:20p,16:30,18:20,Younis Bin Azeem,,0,1,0,1,0,0,0
ENGL 1192 LEC 1,Introduction to Humour Writing,16W,4.0,2:00p-3:50p,14:00,15:50,Younis Bin Azeem,,1,0,1,0,0,0,0
ENGL 2402 LEC 1,Comics Scholarship and Graphic Narrative,16W,4.0,8:00a-9:50a,08:00,09:50,Tom Edward Sewel,,1,0,1,0,0,0,0
ENGL 2811 LEC 1,"Rethinking the Politics of Harem in Literature:
Women, Islam, and Gendered Spaces",16W,4.0,12:00p-1:50p,12:00,13:50,Sadia Zulfiqar,GSS 262,1,0,1,0,0,0,0
GSS 262 LEC 1,"Rethinking the Politics of Harem in Literature:
Women, Islam, and Gendered Spaces",16W,4.0,12:00p-1:50p,12:00,13:50,Sadia Zulfiqar,ENGL 2811,1,0,1,0,0,0,0
ENGL 2991 LEC 1,"Text and Tech: Digital Approaches to the
Humanities",16W,4.0,8:00a-9:50a,08:00,09:50,TBA,,0,1,0,1,0,0,0
ENGL 3172 LEC 1,"'The Empire Writes Backâ: Diaspora Fiction in
Europe",16W,4.0,8:00a-9:50a,08:00,09:50,Farah Hasan Ali,GSS 362,1,0,1,0,0,0,0
GSS 362 LEC 1,"'The Empire Writes Backâ: Diaspora Fiction in
Europe",16W,4.0,8:00a-9:50a,08:00,09:50,Farah Hasan Ali,ENGL 3172,1,0,1,0,0,0,0
ENGL 3812 LEC 1,African Literature: Women Writing Back,16W,4.0,12:00p-1:50p,12:00,13:50,Furrukh A. Khan,GSS 363,1,0,1,0,0,0,0
GSS 363 LEC 1,African Literature: Women Writing Back,16W,4.0,12:00p-1:50p,12:00,13:50,Furrukh A. Khan,ENGL 3812,1,0,1,0,0,0,0
ENV 102 LEC 1,Introduction to Environmental Studies,16W,4.0,10:00a-11:50a,10:00,11:50,Maryam Ibrahim,,0,1,0,1,0,0,0
ENV 132 LEC 1,Disasters,16W,4.0,2:00p-3:50p,14:00,15:50,Sana Khosa,SOC 122,0,1,0,1,0,0,0
SOC 122 LEC 1,Disasters,16W,4.0,2:00p-3:50p,14:00,15:50,Sana Khosa,ENV 132,0,1,0,1,0,0,0
ENV 210 LEC 1,Methods in Environmental Studies,16W,4.0,12:00p-1:50p,12:00,13:50,TBA,,1,0,1,0,0,0,0
ENV 342 LEC 1,Environmentalism and Development,16W,4.0,3:00p-4:50p,15:00,16:50,Maryam Ibrahim,SOC 324,1,0,1,0,0,0,0
SOC 324 LEC 1,Environmentalism and Development,16W,4.0,3:00p-4:50p,15:00,16:50,Maryam Ibrahim,ENV 342,1,0,1,0,0,0,0
FINN 100 LEC 1,Principles of Finance,16W,3.0,9:30a-10:45a,09:30,10:45,Salman Khan,,1,0,1,0,0,0,0
FINN 200 LEC 1,Intermediate Finance,16W,3.0,11:00a-12:15p,11:00,12:15,Bushra Naqvi,,1,0,1,0,0,0,0
FINN 200 LEC 2,Intermediate Finance,16W,3.0,8:00a-9:15a,08:00,09:15,Syed Hashim Mahmood Ali,,1,0,1,0,0,0,0
FINN 200 LEC 3,Intermediate Finance,16W,3.0,9:30a-10:45a,09:30,10:45,Syed Hashim Mahmood Ali,,1,0,1,0,0,0,0
