Course Code,Course Title,Session,Instructor,Cr Hrs,Day and Time
PHY 223 LEC 1,"Mathematical Methods in Physics and Engineering
I",16W,Ammar Ahmed Khan,3.0,MW 8:00AM-9:15AM
PHY 300 LAB 1,Experimental Physics Lab II,16W,Muhammad Hamza Humayun,3.0,W 9:00AM-5:50PM
PHY 301 LEC 1,Classical Mechanics,16W,Tajdar Mufti,3.0,TR 12:00PM-1:15PM
PHY 313 LEC 1,Statistical Mechanics,16W,,4.0,TR 8:00AM-9:50AM
PHY 316 LEC 1,Introduction to Computational Neuroscience,16W,,3.0,TR 8:00AM-9:15AM
PHY 404 LEC 1,Relativistic Electrodynamics,16W,Syed Moeez Hassan,3.0,TR 1:30PM-2:45PM
PHY 501 LAB 1,Electrodynamics,16W,Rizwan Khalid,3.0,M 9:30AM-12:20PM
PHY 501 LEC 1,Electrodynamics,16W,Rizwan Khalid,3.0,TR 10:00AM-10:50AM
PHY 5114 LEC 1,Quantum Algorithms,16W,Muhammad Faryad,3.0,TR 9:30AM-10:45AM
PHY 512 LEC 1,Advanced Quantum Mechanics,16W,Muhammad Faryad,3.0,TR 11:00AM-12:15PM
PHY 633 LEC 1,Magnetism: Theory and Experiment,16W,Muhammad Sabieh Anwar,3.0,TR 3:30PM-4:45PM
POL 100 LEC 1,Introduction to Political Science,16W,Rida Ashfaq,4.0,TR 10:00AM-11:50AM
POL 100 LEC 2,Introduction to Political Science,16W,Rida Ashfaq,4.0,TR 2:00PM-3:50PM
POL 100 LEC 3,Introduction to Political Science,16W,,4.0,MW 10:00AM-11:50AM
POL 132 LEC 1,Introduction to Politics in Developing Countries,16W,,4.0,MW 2:00PM-3:50PM
POL 203 LEC 1,Introduction to Political Theory,16W,Adeel Hamza,4.0,MW 4:00PM-5:50PM
POL 203 LEC 2,Introduction to Political Theory,16W,Muhammad Shabbir Ahsen,4.0,TR 4:00PM-5:50PM
POL 2214 LEC 1,"Decolonizing Democracy: Lessons from the Global
South",16W,Farhat Haq,4.0,TR 12:00PM-1:50PM
POL 266 LEC 1,Women and Political Theory,16W,Adeel Hamza,4.0,TR 4:00PM-5:50PM
POL 3113 LEC 1,Political Islam: Ideology and Politics,16W,Taimur Rahman,4.0,MW 4:00PM-5:50PM
POL 320 LEC 1,Comparative Politics,16W,Asma ul-Husna Faiz,4.0,TR 10:00AM-11:50AM
POL 320 LEC 2,Comparative Politics,16W,Asma ul-Husna Faiz,4.0,TR 2:00PM-3:50PM
POL 3202 LEC 1,Qualitative Research Methods in Political Science,16W,Hafiz Muhammad Salman Rafi,4.0,MW 2:00PM-3:50PM
POL 324 LEC 1,Marxism and the Modern World,16W,Taimur Rahman,4.0,TR 4:00PM-5:50PM
POL 3302 LEC 1,Theories of IR,16W,Syed Rashid Munir,4.0,TR 12:00PM-1:50PM
POL 366 LEC 1,Terrorism as Political Action,16W,Syed Rashid Munir,4.0,TR 2:00PM-3:50PM
POL 4112 LEC 1,Political Leadership,16W,Mohammad Waseem,4.0,MW 2:00PM-3:50PM
POL 412 LEC 1,Diplomacy in International Relations,16W,Shahid Malik,4.0,TR 10:00AM-11:50AM
PSY 100 LEC 1,Introduction to Psychology and Human Behavior,16W,Yasser Hashmi,4.0,TR 4:00PM-5:50PM
PSY 100 LEC 2,Introduction to Psychology and Human Behavior,16W,Natasha Sohail Barlas,4.0,TR 4:00PM-5:50PM
PSY 100 LEC 3,Introduction to Psychology and Human Behavior,16W,Arman Ashraf,4.0,MW 2:00PM-3:50PM
PSY 212 LEC 1,Theories of Learning,16W,Imran Rashid,4.0,MW 12:00PM-1:50PM
PSY 214 LEC 1,Perception,16W,Yasser Hashmi,4.0,MW 4:00PM-5:50PM
PSY 220 LEC 1,Psychopathology,16W,Tahira Haider,4.0,MW 2:00PM-3:50PM
PSY 300 LEC 1,Social Psychology,16W,Imran Rashid,4.0,TR 12:00PM-1:50PM
PSY 321 LEC 1,Life Span Development,16W,Natasha Sohail Barlas,4.0,TR 2:00PM-3:50PM
REL 200 LEC 1,What is Religion,16W,Essam Fahim,4.0,MW 2:00PM-3:50PM
REL 224 LEC 1,"Introduction to Quranic and Modern Standard
Arabic",16W,Asif Iftikhar,4.0,TR 4:00PM-5:50PM
REL 235 LEC 1,"Religion, Conflict, and Peace Building",16W,Aurangzeb Haneef,4.0,MW 2:00PM-3:50PM
REL 314 LEC 1,Islamic Historiography: An Introduction,16W,Baqar Hassan Syed,4.0,MW 10:00AM-11:50AM
REL 315 LEC 1,Religion and Existentialism,16W,Mian Muhammad Nauman Faizi,4.0,TR 2:00PM-3:50PM
REL 332 LEC 1,"What is ""Islamic"" history?",16W,Irfan Moeen Khan,4.0,MW 10:00AM-11:50AM
REL 334 LEC 1,"Experience and Interpretation in Muslim Feminist
Scriptural Discourse",16W,,4.0,TR 10:00AM-11:50AM
SCI 503 LEC 1,STEM Teaching in the AI Era,16W,"Muhammad Hamad Alizai
Anusheh Attique",3.0,MW 12:00PM-1:15PM
SCRM 6101 LEC 1,Operations and Supply Chain Strategy,MS1,Ahsan Umar,3.0,FSU 6:30PM-8:30PM
SOC 100 LEC 1,Introduction to Sociology,16W,Amen Jaffer,4.0,MW 4:00PM-5:50PM
SOC 100 LEC 2,Introduction to Sociology,16W,Tania Saeed,4.0,MW 12:00PM-1:50PM
SOC 253 LEC 1,Scientific Imagination and the Religious Mind,16W,Basit Bilal Koshul,4.0,TR 12:00PM-1:50PM
SOC 265 LEC 1,Introduction to Gender and Sexuality Studies,16W,Nida Yasmeen Kirmani,4.0,MW 12:00PM-1:50PM
SOC 310 LEC 1,Classical Sociological Theory,16W,Umair Javed,4.0,TR 12:00PM-1:50PM
SOC 320 LEC 1,Quantitative Research Methods,16W,,4.0,MW 10:00AM-11:50AM
SOC 334 LEC 1,The Informal Economy,16W,Umair Javed,4.0,MW 12:00PM-1:50PM
SOC 353 LEC 1,Social Science and the Post-Secular Age,16W,Basit Bilal Koshul,4.0,TR 4:00PM-5:50PM
SS 100 LEC 1,Writing and Communication,16W,,4.0,TR 8:00AM-9:50AM
SS 100 LEC 2,Writing and Communication,16W,,4.0,TR 9:30AM-11:20AM
SS 100 LEC 3,Writing and Communication,16W,,4.0,TR 1:30PM-3:20PM
SS 100 LEC 4,Writing and Communication,16W,,4.0,MW 9:30AM-11:20AM
SS 100 LEC 5,Writing and Communication,16W,,4.0,TR 1:00PM-2:50PM
SS 100 LEC 6,Writing and Communication,16W,,4.0,MW 2:00PM-3:50PM
SS 100 LEC 7,Writing and Communication,16W,,4.0,TR 4:00PM-5:50PM
SS 100 LEC 8,Writing and Communication,16W,,4.0,MW 10:00AM-11:50AM
SS 100 LEC 9,Writing and Communication,16W,,4.0,TR 12:00PM-1:50PM
SS 100 LEC 10,Writing and Communication,16W,,4.0,TR 4:00PM-5:50PM
SS 100 LEC 11,Writing and Communication,16W,,4.0,MW 11:00AM-12:50PM
SS 100 LEC 12,Writing and Communication,16W,,4.0,MW 12:00PM-1:50PM
SS 100 LEC 13,Writing and Communication,16W,,4.0,MW 8:00AM-9:50AM
SS 100 LEC 14,Writing and Communication,16W,,4.0,TR 10:00AM-11:50AM
SS 100 LEC 15,Writing and Communication,16W,,4.0,MW 9:00AM-10:50AM
SS 100 LEC 16,Writing and Communication,16W,,4.0,TR 2:00PM-3:50PM
SS 100 LEC 17,Writing and Communication,16W,,4.0,TR 3:30PM-5:20PM
SS 100 LEC 18,Writing and Communication,16W,,4.0,TR 9:00AM-10:50AM
SS 100 LEC 19,Writing and Communication,16W,,4.0,MW 2:00PM-3:50PM
SS 100 LEC 20,Writing and Communication,16W,,4.0,MW 2:00PM-3:50PM
SS 100 LEC 21,Writing and Communication,16W,,4.0,TR 11:30AM-1:20PM
SS 100 LEC 22,Writing and Communication,16W,,4.0,MW 12:00PM-1:50PM
SS 100 LEC 23,Writing and Communication,16W,,4.0,TR 11:00AM-12:50PM
SS 100A LEC 1,Introduction to Writing,16W,,2.0,TR 4:00PM-4:50PM
SS 100A LEC 2,Introduction to Writing,16W,,2.0,MW 8:00AM-8:50AM
SS 100A LEC 3,Introduction to Writing,16W,,2.0,MW 1:00PM-1:50PM
SS 100A LEC 4,Introduction to Writing,16W,,2.0,TR 11:00AM-11:50AM
SS 100A LEC 5,Introduction to Writing,16W,,2.0,TR 10:00AM-10:50AM
SS 101 LEC 1,Islamic Studies,16W,Aurangzeb Haneef,2.0,F 8:00AM-9:50AM
SS 101 LEC 2,Islamic Studies,16W,Essam Fahim,2.0,F 4:00PM-5:50PM
SS 101 LEC 3,Islamic Studies,16W,Baqar Hassan Syed,2.0,T 2:00PM-3:50PM
SS 101 LEC 4,Islamic Studies,16W,Essam Fahim,2.0,R 12:00PM-1:50PM
SS 101 LEC 5,Islamic Studies,16W,Asif Iftikhar,2.0,F 2:00PM-3:50PM
SS 102 LEC 1,Pakistan Studies: Culture and Heritage,16W,,2.0,F 4:00PM-5:50PM
SS 102 LEC 2,Pakistan Studies: Culture and Heritage,16W,,2.0,F 8:00AM-9:50AM
SS 102 LEC 3,Pakistan Studies: Culture and Heritage,16W,,2.0,T 8:00AM-9:50AM
SS 102 LEC 4,Pakistan Studies: Culture and Heritage,16W,,2.0,F 2:00PM-3:50PM
SS 102 LEC 5,Pakistan Studies: Culture and Heritage,16W,,2.0,W 2:00PM-3:50PM
SS 102 LEC 6,Pakistan Studies: Culture and Heritage,16W,,2.0,M 8:00AM-9:50AM
SS 102 LEC 7,Pakistan Studies: Culture and Heritage,16W,,2.0,W 8:00AM-9:50AM
SS 102 LEC 8,Pakistan Studies: Culture and Heritage,16W,,2.0,M 4:00PM-5:50PM
SS 102 LEC 9,Pakistan Studies: Culture and Heritage,16W,,2.0,F 11:00AM-12:50PM
SS 1302 LEC 1,"Sur, Tal aur Rag: Foundations of South Asian Music",16W,Sadaf Habib,4.0,TR 10:00AM-11:50AM
SS 1303 LEC 1,Introduction to Kathak,16W,,4.0,TR 1:00PM-2:50PM
SS 187 LEC 1,Applied Statistics for Humanities,16W,Muhammad Saad Imtiaz,4.0,MW 12:00PM-1:50PM
SS 187 LEC 2,Applied Statistics for Humanities,16W,Muhammad Salaar Arif Khan,4.0,TR 12:00PM-1:50PM
SS 233 LEC 1,Media Writing,16W,Syed Javed Nazir,4.0,TR 8:00AM-9:50AM
SS 3302 LEC 1,Professional Communication Skills,16W,Aamna Khalid,4.0,MW 3:00PM-4:50PM
SSE 101 LEC 1,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 2,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 3,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 4,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 5,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 6,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 7,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 8,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 9,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 10,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 11,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 12,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 13,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 14,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 15,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 16,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 17,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 18,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 19,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 20,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 21,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 22,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 23,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SSE 101 LEC 24,First Year Tutorial,16W,,0.5,F 10:00AM-12:50PM
SWR 102 PRT 1,Swimming for Beginners,16W,"Muhammad Haider Awan
Amir Hussain",1.0,TR 10:00AM-11:15AM
SWR 102 PRT 2,Swimming for Beginners,16W,"Khalida Bashir
Rabia Yasin",1.0,MW 10:00AM-11:15AM
SWR 102 PRT 3,Swimming for Beginners,16W,"Rashid Ahmad
Azmat Ullah",1.0,TR 2:00PM-3:15PM
SWR 102 PRT 4,Swimming for Beginners,16W,"Kausar Farooq
Nimra Nimra",1.0,MW 2:00PM-3:15PM
SWR 102 PRT 5,Swimming for Beginners,16W,"Khalida Bashir
Rabia Yasin",1.0,TR 12:00PM-1:15PM
SWR 102 PRT 6,Swimming for Beginners,16W,"Muhammad Haider Awan
Amir Hussain",1.0,MW 12:00PM-1:15PM
SWR 102 PRT 7,Swimming for Beginners,16W,"Kausar Farooq
Nimra Nimra",1.0,TR 4:00PM-5:15PM
SWR 102 PRT 8,Swimming for Beginners,16W,"Rashid Ahmad
Azmat Ullah",1.0,MW 4:00PM-5:15PM
SWR 103 PRT 1,Strength Training and Conditioning for Beginners,16W,Muhammad Bilal Iqbal Khan,1.0,MW 10:00AM-11:15AM
SWR 103 PRT 2,Strength Training and Conditioning for Beginners,16W,Muhammad Bilal Iqbal Khan,1.0,TR 10:00AM-11:15AM
SWR 103 PRT 3,Strength Training and Conditioning for Beginners,16W,Mudassar Naseer,1.0,MW 2:00PM-3:15PM
SWR 103 PRT 4,Strength Training and Conditioning for Beginners,16W,Mudassar Naseer,1.0,TR 2:00PM-3:15PM
SWR 103 PRT 5,Strength Training and Conditioning for Beginners,16W,Muhammad Shakeel,1.0,TR 4:00PM-5:15PM
SWR 103 PRT 6,Strength Training and Conditioning for Beginners,16W,Muhammad Shakeel,1.0,MW 4:00PM-5:15PM
SWR 103 PRT 7,Strength Training and Conditioning for Beginners,16W,Kanwal Yousaf,1.0,MW 10:00AM-11:15AM
SWR 103 PRT 8,Strength Training and Conditioning for Beginners,16W,Kanwal Yousaf,1.0,TR 10:00AM-11:15AM
SWR 103 PRT 9,Strength Training and Conditioning for Beginners,16W,Aruba Naz,1.0,MW 11:30AM-12:45PM
SWR 103 PRT 10,Strength Training and Conditioning for Beginners,16W,Aruba Naz,1.0,TR 11:30AM-12:45PM
SWR 103 PRT 11,Strength Training and Conditioning for Beginners,16W,Shabana Kausar,1.0,MW 4:00PM-5:15PM
SWR 103 PRT 12,Strength Training and Conditioning for Beginners,16W,Shabana Kausar,1.0,TR 4:00PM-5:15PM
SWR 104 PRT 1,Basketball for beginners,16W,Mohsin Riaz,1.0,MW 3:30PM-4:45PM
SWR 104 PRT 2,Basketball for beginners,16W,Mohsin Riaz,1.0,MW 5:00PM-6:15PM
SWR 104 PRT 3,Basketball for beginners,16W,Mohsin Riaz,1.0,TR 3:30PM-4:45PM
SWR 104 PRT 4,Basketball for beginners,16W,Mohsin Riaz,1.0,TR 5:00PM-6:15PM
SWR 105 PRT 1,"Walk, Jog and Stretch for Fitness",16W,Babar Asad Khan,1.0,MW 3:30PM-4:45PM
SWR 105 PRT 2,"Walk, Jog and Stretch for Fitness",16W,Babar Asad Khan,1.0,MW 5:00PM-6:15PM
SWR 105 PRT 3,"Walk, Jog and Stretch for Fitness",16W,Babar Asad Khan,1.0,TR 3:30PM-4:45PM
SWR 105 PRT 4,"Walk, Jog and Stretch for Fitness",16W,Babar Asad Khan,1.0,TR 5:00PM-6:15PM
